date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:11	17662/17662	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffc8d-44fe%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/components-notifications.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/components-notifications.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:15	23290/23290	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffc8d-5afa%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/components-preloader.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/components-preloader.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:15	27080/27080	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffd3e-69c8%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/pages-contacts.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/pages-contacts.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:15	6142/6142	---M--	200	added ('OK')	text/html	etag:%225b5ffd3d-17fe%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/login.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/login.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:16	20427/20427	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffd3f-4fcb%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/pages-pricing.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/pages-pricing.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:16	3854/3854	---M--	200	added ('OK')	image/jpeg	etag:%225b5ffcae-f0e%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-1.jpg	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-1.jpg	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:16	25528/25528	---M--	200	added ('OK')	image/jpeg	etag:%225b5ffcb2-63b8%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-2.jpg	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-2.jpg	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:17	12372/12372	---M--	200	added ('OK')	image/jpeg	etag:%225b5ffcb3-3054%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-3.jpg	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-3.jpg	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:17	307/307	---M--	200	added ('OK')	image/png	etag:%225b5ffcd9-133%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/img/flags/16/GB.png	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/img/flags/16/GB.png	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:18	102/102	---M--	200	added ('OK')	image/png	etag:%225b5ffcd1-66%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/img/flags/16/DE.png	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/img/flags/16/DE.png	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:18	100/100	---M--	200	added ('OK')	image/png	etag:%225b5ffcd8-64%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/img/flags/16/FR.png	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/img/flags/16/FR.png	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:18	10901/10901	---M--	200	added ('OK')	image/jpeg	etag:%225b5ffcb4-2a95%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-5.jpg	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-5.jpg	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:19	8773/8773	---M--	200	added ('OK')	image/jpeg	etag:%225b5ffcb5-2245%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-6.jpg	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-6.jpg	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:20	144766/144766	---M--	200	added ('OK')	image/png	etag:%225b5ffd34-2357e%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/template-mac.png	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/template-mac.png	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:21	86927/86927	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2006:15:31%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/jquery/jquery.min.js	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/jquery/jquery.min.js	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:22	20337/20337	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2006:19:13%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/popper.js/umd/popper.min.js	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/popper.js/umd/popper.min.js	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:23	2115/2115	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2006:10:04%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/js/grasp_mobile_progress_circle-1.0.0.min.js	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/js/grasp_mobile_progress_circle-1.0.0.min.js	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:23	51039/51039	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2006:10:39%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/bootstrap/js/bootstrap.min.js	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/bootstrap/js/bootstrap.min.js	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
